"name","url","status","area","department","center","university","description","keywords","contact_name","contact_email"
"Nanophysics Lab San Sebastian: desde la ciencia de superficies a los dispositivos | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10251/detalle?lang=es","","","","","UPV/EHU","NPL Nanophysics Lab San Sebastian: desde la ciencia de superficies a los dispositivos Detalle Proyectos Publicaciones Colaboración Tesis Constituido el 01 de enero de 2013 Responsables : JOSE ENRIQUE ORTEGA CONEJERO CELIA ROGERO BLANCO Centro : Escuela Técnica Superior de Arquitectura Departamento : Física Aplicada Página web : https://cfm.ehu.es/nanophysicslab/ Investigadoras/es Filtrar JOSE ENRIQUE ORTEGA CONEJERO Responsable CELIA ROGERO BLANCO Responsable SARA BARJA MARTINEZ LAURA MARIA CERVERA GABALDA MARTINA CORSO DIMAS GARCIA DE OTEYZA FELDERMANN VITALY HOLOVACH MAIDER ORMAZA SAEZMIERA FREDERIK MICHAEL SCHILLER Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Condensed Matter Physics (Physics and Astronomy) Filtrar Chemical Physics (Physics and Astronomy) Filtrar Instrumentation and Detectors (Physics and Astronomy) Filtrar Atomic and Molecular Physics, and Optics (Physics and Astronomy) Filtrar Organic Chemistry (Chemistry) Filtrar General Chemistry (Chemistry) Filtrar Nuclear and High Energy Physics (Physics and Astronomy) Filtrar Materials Chemistry (Materials Science) Filtrar Applied Physics (Physics and Astronomy) Filtrar Biotechnology (Biochemistry, Genetics and Molecular Biology) Filtrar Componentes en otros momentos (5) ELSAYED ABDELMOTTALEB MASOUD, AFAF 2013 2018 FERNANDEZ GOMEZ-RECUERO, LAURA ISABEL 2019 2021 MAGAÑA VICANDI, ANA 2013 2018 MOHAMMED IDRIS BAKHIT, ALAA 2019 2021 PICKUP, DAVID FREDERICK 2013 2018","","PICKUP, DAVID FREDERICK 2013 2018",""
"Networking, Quality and Security | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10252/detalle?lang=es","","","","","UPV/EHU","NQaS Networking, Quality and Security Detalle Proyectos Publicaciones Colaboración Tesis Patentes Constituido el 22 de noviembre de 2012 Responsable : FIDEL LIBERAL MALAINA Centro : Escuela de Ingeniería de Bilbao Departamento : Ingeniería de Comunicaciones Investigadoras/es Filtrar FIDEL LIBERAL MALAINA Responsable ENDIKA ALDECOA PALENCIA MIREN NEKANE BILBAO MARON BEGOÑA BLANCO JAUREGUI LEIRE CRISTOBO GUERRERO ARMANDO FERRO VAZQUEZ ANA EVA IBARROLA ARMENDARIZ JAVIER LOPEZ CUADRADO UNAI LOPEZ NOVOA JOSE RAMON OTEGI OLASO CRISTINA BEGOÑA PERFECTO DEL AMO AITOR SANCHOYERTO MARTINEZ JANIRE TABOADA PUENTE LUIS ZABALA ALBERDI Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Computer Networks and Communications (Computer Science) Filtrar Artificial Intelligence (Computer Science) Filtrar Electrical and Electronic Engineering (Engineering) Filtrar Information Systems (Computer Science) Filtrar Management of Technology and Innovation (Business, Management and Accounting) Filtrar Computer Science Applications (Computer Science) Filtrar Computers and Society (Computer Science) Filtrar Distributed, Parallel, and Cluster Computing (Computer Science) Filtrar Strategy and Management (Business, Management and Accounting) Filtrar Control and Systems Engineering (Engineering) Filtrar Componentes en otros momentos (2) AGUIRREGOITIA MARTINEZ, AMAIA 2012 2015 JODRA LUQUE, JOSE  LUIS 2012 2015","","Contacto",""
"Neurociencias | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10253/detalle?lang=es","","","","","UPV/EHU","Neurociencias Detalle Proyectos Publicaciones Colaboración Tesis Patentes Constituido el 01 de enero de 2020 Responsable : AINARA VALLEJO ILLARAMENDI Centro : Facultad de Medicina y Enfermería Departamento : Pediatría Página web : https://www.ehu.eus/es/web/psikologia-fakultatea/grupos-investigacion/neurociencias Investigadoras/es Filtrar AINARA VALLEJO ILLARAMENDI Responsable JOANA GARMENDIA ZALDUA GARAZI LABAYRU ISUSQUIZA ADOLFO JOSE LOPEZ DE MUNAIN ARREGUI MARIA ITXASO MARTI CARRERA LAURA MOSQUEIRA MARTIN ERIKA REZOLA ARCELUS OLAIA SARDON PRADO ANDONE SISTIAGA BERRONDO Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Neurology (Neuroscience) Filtrar Pediatrics (Medicine) Filtrar Internal Medicine (Medicine) Filtrar Cell Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Allergy and Immunology (Medicine) Filtrar Genetics, Medical (Medicine) Filtrar Biological Psychiatry (Neuroscience) Filtrar Biotechnology (Biochemistry, Genetics and Molecular Biology) Filtrar Psychiatry (Medicine) Filtrar Biomaterials (Materials Science) Filtrar Componentes en otros momentos (8) GARCIA PUGA, MIKEL 2020 2022 LARA LOPEZ, ARACELI 2021 2022 LASA FERNANDEZ, HAIZPEA 2020 2022 MANEIRO VICENTE, MIREN 2020 2022 MARTI MASSO, JOSE FELIX 2020 2022 MARTINEZ DE ALBENIZ ZABALETA, MARIA TERESA 2020 2022 MERINO GALAN, LEYRE 2020 2022 MUÑOZ OREJA, MIKEL 2020 2022","","Contacto",""
"Neuroquímica y Neurodegeneración | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10255/detalle?lang=es","","","","","UPV/EHU","Neuroquímica y Neurodegeneración Detalle Proyectos Publicaciones Colaboración Tesis Patentes Constituido el 01 de enero de 2010 Responsables : SONIA BAÑUELOS RODRIGUEZ RAFAEL RODRIGUEZ PUERTAS Centro : Facultad de Medicina y Enfermería Departamento : Farmacología Página web : https://www.ehu.eus/es/web/alzheimer Investigadoras/es Filtrar SONIA BAÑUELOS RODRIGUEZ Responsable RAFAEL RODRIGUEZ PUERTAS Responsable CARMELO AGUIRRE GOMEZ IKER BENGOETXEA DE TENA CRISTINA BRUZOS CIDON MANUEL FERNANDEZ MARTINEZ ESTIBALIZ GONZALEZ DE SAN ROMAN MARTIN DIEGO MARCELO A. GUERIN AGUILAR IVAN MANUEL VICENTE JONATAN MARTINEZ GARDEAZABAL GORKA PEREIRA CASTELO MARIA TORRECILLA SESMA Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Neurology (Neuroscience) Filtrar Biological Psychiatry (Neuroscience) Filtrar Organic Chemistry (Chemistry) Filtrar Allergy and Immunology (Medicine) Filtrar Cell Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Materials Chemistry (Materials Science) Filtrar Molecular Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Pharmacology (Pharmacology, Toxicology and Pharmaceutics) Filtrar Polymers and Plastics (Materials Science) Filtrar Biochemistry (Chemistry) Filtrar Componentes en otros momentos (8) ASTIGARRAGA ARRIBAS, EGOITZ 2010 2012 BARREDA GOMEZ, GABRIEL 2010 2012 GARCIA FERNANDEZ, MARIA DOLORES 2013 2021 GIRALT RUE, MARIA TERESA 2010 2015 LLORENTE OVEJERO, ALBERTO 2013 2021 LOMBARDERO ITURRIZAGA, LAURA 2010 2021 MORENO RODRIGUEZ, MARTA 2016 2021 ONANDIA HINCHADO, IBAN 2016 2021","","Contacto",""
"NUtrition MAnagement in Plant and Soil | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10256/detalle?lang=es","","","","","UPV/EHU","NUMAPS NUtrition MAnagement in Plant and Soil Detalle Proyectos Publicaciones Colaboración Tesis Constituido el 01 de enero de 2010 Responsable : JOSE MARIA ESTAVILLO AURRE Centro : Facultad de Ciencia y Tecnología Departamento : Biología Vegetal y Ecología Página web : https://www.ehu.eus/es/web/numaps/ Investigadoras/es Filtrar JOSE MARIA ESTAVILLO AURRE Responsable ADRIAN BOZAL LEORRI INMACULADA COLETO REYES MIREN KARMELE DUÑABEITIA AURRECOECHEA TERESA FUERTES MENDIZABAL MARIA BEGOÑA GONZALEZ MORO MARIA DEL CARMEN BEGOÑA GONZALEZ MURUA ENITH XIMENA HUERFANO SALINAS MAITANE JUAREZ MUGARZA MADDI MALATSETXEBARRIA ARRIETA AGUSTIN JAVIER MARIN PEÑA DANIEL MARINO BILBAO EDUARDO ROSA GONZALEZ MARIA ISABEL SALCEDO LARRALDE JOSE ALBERTO URBANO GAMEZ LEYRE URMENETA GARIN IZARGI AIDA VEGA MAS Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Plant Science (Agricultural and Biological Sciences) Filtrar Physiology (Biochemistry, Genetics and Molecular Biology) Filtrar Food Science (Agricultural and Biological Sciences) Filtrar Agronomy and Crop Science (Agricultural and Biological Sciences) Filtrar Ecology (Environmental Science) Filtrar Biotechnology (Biochemistry, Genetics and Molecular Biology) Filtrar Soil Science (Agricultural and Biological Sciences) Filtrar Genetics (Biochemistry, Genetics and Molecular Biology) Filtrar Cell Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Applied Microbiology and Biotechnology (Immunology and Microbiology) Filtrar Componentes en otros momentos (13) ARANJUELO MICHELENA, IKER 2016 2021 BARRENA ZUBIAUR, ISKANDER 2010 2015 BEJARANO AYERBE, IRAIDE 2016 2021 CORROCHANO MONSALVE, MARIO 2016 2021 MARTIN RODRIGUES, NOEMI 2010 2015 MENENDEZ VILLANUEVA, SERGIO 2010 2021 ORTEGA LASUEN, UNAI 2010 2015 POUCET, THEO JEAN 2016 2021 RICO MARTINEZ, ARANTZA 2010 2015 SANCHEZ ZABALA, JOSEBA 2010 2015 SARASQUETA GOMEZ, ASIER 2010 2021 SETIEN FERNANDEZ, IGOR 2010 2015 TORRALBO CERRO, FERNANDO 2010 2021","","Contacto",""
"ONEKIN | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10257/detalle?lang=es","","","","","UPV/EHU","ONEKIN ONEKIN Detalle Proyectos Publicaciones Colaboración Tesis Constituido el 01 de enero de 2010 Responsable : OSCAR DIAZ GARCIA Centro : Facultad de Informática Departamento : Lenguajes y Sistemas Informáticos Página web : https://onekin.org/ Investigadoras/es Filtrar OSCAR DIAZ GARCIA Responsable MAIDER AZANZA SESE IKER AITOR AZPEITIA LAKUNTZA XABIER GARMENDIA DIAZ FELIPE IBAÑEZ ANFURRUTIA MIREN ARANTZAZU IRASTORZA GOÑI JUAN IGNACIO ITURRIOZ SANCHEZ JUAN MIGUEL LOPEZ GIL RAUL MEDEIROS PEREZ JUAN ANTONIO PEREIRA VARELA JEREMIAS PEREZ CONTELL Clasificaciones Vigencia de grupos: Grupos EHU/UPV activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Software Engineering (Computer Science) Filtrar Human-Computer Interaction (Computer Science) Filtrar Computers and Society (Computer Science) Filtrar Education (Social Sciences) Filtrar Artificial Intelligence (Computer Science) Filtrar Software (Computer Science) Filtrar Telemedicine (Medicine) Filtrar Information Systems (Computer Science) Filtrar Mechanical Engineering (Engineering) Filtrar Mechanics of Materials (Engineering) Filtrar Componentes en otros momentos (4) ALONSO GONZALEZ, LUIS MARIA 2010 2012 ARELLANO BARTOLOME, CRISTOBAL 2013 2016 MONTALVILLO MENDIZABAL, LETICIA 2016 2019 OTADUY IGARTUA, ITZIAR 2013 2016","","Contacto",""
"Organometálicos en síntesis | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10258/detalle?lang=es","","","","","UPV/EHU","OMS Organometálicos en síntesis Detalle Proyectos Publicaciones Colaboración Tesis Patentes Constituido el 01 de enero de 2010 Activo hasta 31 de diciembre de 2021 Responsable : MARIA ESTHER LETE EXPOSITO Página web : https://www.ehu.eus/es/web/oms/home Investigadoras/es Filtrar MARIA ESTHER LETE EXPOSITO Responsable EIDER ARANZAMENDI URUBURU SONIA ARRASATE GIL IRATXE BARBOLLA CUADRADO ASIER CARRAL MENOYO HUMBERTO GONZALEZ DIAZ ANE REBOLLEDO AZCARGORTA CARLOS SANTIAGO ALVAREZ MARIA NURIA SOTOMAYOR ANDUIZA Clasificaciones Vigencia de grupos: Grupos finalizados beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Organic Chemistry (Chemistry) Filtrar Quantitative Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Biotechnology (Biochemistry, Genetics and Molecular Biology) Filtrar Drug Discovery (Pharmacology, Toxicology and Pharmaceutics) Filtrar Molecular Biology (Biochemistry, Genetics and Molecular Biology) Filtrar Condensed Matter Physics (Physics and Astronomy) Filtrar Internal Medicine (Medicine) Filtrar Artificial Intelligence (Computer Science) Filtrar Catalysis (Chemical Engineering) Filtrar Chemical Physics (Physics and Astronomy) Filtrar Componentes en otros momentos (5) COYA DIAZ DE SARRALDE, ESTIBALIZ 2010 2015 GARCIA CALVO, OIHANE 2010 2012 GOMEZ SAN JUAN, ASIER 2010 2015 MARTIN ABRALDES, IÑAKI 2010 2015 MARTINEZ ESTIBALEZ, UNAI 2010 2012","","Contacto",""
"País Vasco, Europa y América: Vínculos y Relaciones Atlánticas | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10259/detalle?lang=es","","","","","UPV/EHU","País Vasco, Europa y América: Vínculos y Relaciones Atlánticas Detalle Proyectos Publicaciones Colaboración Tesis Constituido el 01 de enero de 2010 Responsable : ANA DE ZABALLA BEASCOECHEA Centro : Facultad de Letras Departamento : Filología e Historia Página web : http://www.paisvascoyamerica.eu/category/grupo/presentacion/ Investigadoras/es Filtrar ANA DE ZABALLA BEASCOECHEA Responsable OSCAR ALVAREZ GILA JUAN BOSCO AMORES CARREDANO ALBERTO ANGULO MORALES ALVARO ARAGON RUANO MIGUEL AYERBE LINARES MARIA CARMEN GIL FOMBELLIDA MIKEL GOMEZ GASTIASORO MIKEL IMANOL GONZALEZ MONTERO MARINA HANSEN AITOR LENIZ ATXABAL TAREK NEJJAR BOLLAIN BEATRIZ ONANDIA RUIZ ANDREA PERALES FERNANDEZ DE GAMBOA IRATXE PEREA OZERIN JOSE RODRIGUEZ FERNANDEZ AMAIA ROJO SIERRA ANA MARIA UGALDE ZARATIEGUI ALEXANDER MIRENA UGALDE ZUBIRI Clasificaciones Vigencia de grupos: Grupos EHU/UPV activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. History (Arts and Humanities) Filtrar Literature and Literary Theory (Arts and Humanities) Filtrar Education (Social Sciences) Filtrar Linguistics and Language (Social Sciences) Filtrar Language and Linguistics (Arts and Humanities) Filtrar Cultural Studies (Social Sciences) Filtrar Geography, Planning and Development (Social Sciences) Filtrar Anthropology (Social Sciences) Filtrar Sociology and Political Science (Social Sciences) Filtrar Religious Studies (Arts and Humanities) Filtrar Componentes en otros momentos (13) APAOLAZA LLORENTE, DORLETA 2016 2022 FERNANDEZ MELLEN, CONSOLACION 2013 2018 GARCIA FERNANDEZ, ERNESTO 2013 2022 LIZARRAGA OLANO, MAIALEN 2016 2022 MARTINEZ AZNAL, RUBEN 2016 2018 MARTINEZ HERNANDEZ, PAULA 2016 2018 MOLINA INTXAUSTEGI, MARIA 2013 2018 RAMOS MARTINEZ, JON ANDER 2010 2022 SAENZ DEL CASTILLO VELASCO, KOLDOBIKA 2019 2022 SANTOS FUENTES, ALAIN JESUS 2019 2022 UGALDE GOROSTIZA, ANA ISABEL 2016 2018 URRUTIA RASINES, ANA 2016 2022 VITORES CASADO, IMANOL 2016 2018","","Contacto",""
"Persona, Familia y Patrimonio | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10261/detalle?lang=es","","","","","UPV/EHU","Persona, Familia y Patrimonio Detalle Proyectos Publicaciones Colaboración Tesis Constituido el 01 de enero de 2010 Responsable : GORKA HORACIO GALICIA AIZPURUA Centro : Facultad de Derecho Departamento : Derecho de la Empresa y Derecho Civil Página web : https://www.ehu.eus/es/web/grupo-investigacion-persona-familia-patrimonio/home Investigadoras/es Filtrar GORKA HORACIO GALICIA AIZPURUA Responsable ITZIAR ALKORTA IDIAKEZ MAITENA ARAKISTAIN ARRIOLA CLARA ISABEL ASUA GONZALEZ JON ATXUTEGI GUTIERREZ IRANTZU BERIAIN FLORES SANDRA CASTELLANOS CAMARA ANA SUYAPA FERNANDEZ-SANCHO TAHOCES JACINTO GIL RODRIGUEZ MAGDALENA GOIRIA MONTOYA LEIRE IMAZ ZUBIAUR MIKEL MARI KARRERA EGIALDE IDOIA LANDA REZA NAIARA RODRIGUEZ ELORRIETA LAURA SANCHO MARTINEZ MARIO SANTISTEBAN GALARZA Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Law (Social Sciences) Filtrar Sociology and Political Science (Social Sciences) Filtrar Education (Social Sciences) Filtrar General Social Sciences (Social Sciences) Filtrar History (Arts and Humanities) Filtrar Information Systems (Computer Science) Filtrar Social Psychology (Psychology) Filtrar Accounting (Business, Management and Accounting) Filtrar Econometrics (Economics, Econometrics and Finance) Filtrar General Finance (Economics, Econometrics and Finance) Filtrar Componentes en otros momentos (6) BARRUETABEÑA ZENEKORTA, MAITE 2010 2018 CARDENAL CARRO, RAFAEL 2013 2018 FERNANDEZ EGEA, MARIA ANGELES 2019 2021 HUALDE SANCHEZ, JOSE JAVIER 2010 2018 SEISDEDOS MUIÑO, ANA 2010 2018 VITERI ZUBIA, IBON 2010 2018","","Contacto",""
"Farmacocinética, Nanotecnología y Terapia Génica | Grupos de investigación - Universidad del País Vasco / Euskal Herriko Unibertsitatea","https://ekoizpen-zientifikoa.ehu.eus/grupos/10262/detalle?lang=es","","","","","UPV/EHU","PharmaNanoGene Farmacocinética, Nanotecnología y Terapia Génica Detalle Proyectos Publicaciones Colaboración Tesis Patentes Constituido el 01 de enero de 2010 Responsable : ALICIA RODRIGUEZ GASCON Centro : Facultad de Farmacia Departamento : Farmacia y Ciencias de los Alimentos Página web : https://www.ehu.eus/es/web/pharmananogene Investigadoras/es Filtrar ALICIA RODRIGUEZ GASCON Responsable MADALEN ARRIBAS GALARRETA MARINA BERAZA MILLOR MARIA BEGOÑA CALVO HERNAEZ PAULA FERNANDEZ MURO ARANTXAZU ISLA RUIZ ANA DEL POZO RODRIGUEZ JULEN RODRIGUEZ CASTEJON MARIA ANGELES SOLINIS ASPIAZU MARIA ELENA SUAREZ GONZALEZ AMAIA URIONAGUENA DE LA IGLESIA Clasificaciones Vigencia de grupos: Grupos consolidados activos beta Especialidades predominantes (top 10) Obtenidas a partir de las publicaciones help Obtenidas a partir de las publicaciones Las especialidades temáticas mostradas se han obtenido mediante la aplicación de modelos de inteligencia artificial, obtenidos como resultado del Proyecto Hércules. El listado puede contener errores. En proceso de evaluación y mejora. Compartido para recoger sugerencias de la comunidad. Pharmacology (medical) (Medicine) Filtrar Pharmacology (Pharmacology, Toxicology and Pharmaceutics) Filtrar Internal Medicine (Medicine) Filtrar Biomedical Engineering (Engineering) Filtrar Bioengineering (Chemical Engineering) Filtrar Biotechnology (Biochemistry, Genetics and Molecular Biology) Filtrar Medicine (miscellaneous) (Medicine) Filtrar General Materials Science (Materials Science) Filtrar Pharmaceutical Science (Pharmacology, Toxicology and Pharmaceutics) Filtrar Microbiology (medical) (Medicine) Filtrar Componentes en otros momentos (16) AGUILERA CELORRIO, LUCIANO JOSE 2010 2012 ALARCIA LACALLE, ANA 2021 2022 ASIN PRIETO, EDUARDO 2016 2018 BELOQUI GARCIA, ANA 2010 2015 CALVO DUO, ROSARIO 2010 2012 DELGADO SAN VICENTE, DIEGO 2010 2015 GOMEZ AGUADO, ITZIAR 2017 2022 JAUREGUIZAR ALBONIGAMAYOR, NEREA 2010 2012 LLORENS VILLAR, YANIRE 2010 2015 MALET LARREA, AMAIA 2010 2018 MARTINEZ JORDA, RAFAEL 2010 2012 QUINTANA LOYOLA, ANTONIO 2010 2012 RACZKA WOJTOWICKA, EWA ZDZISLAWA 2010 2012 SORALUCE OLAÑETA, AMAIA 2010 2015 TORRECILLA ALZOLA, JOSUNE 2010 2021 VALDIVIESO LOPEZ, ANDRES 2010 2012","","Contacto",""
