group_id,name,acronym,year,address,phone,fax,email,website,campus,cytema,n_lines,n_ris3,n_offer,n_projects,n_people,detail_url
4,QUÍMICA Y CONTAMINACIÓN ATMOSFÉRICA,QYCA,1991,"AVDA. CAMILO JOSÉ CELA, 10 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 300 (Exts. 3425 y 6239),.,BEATRIZ.CABANAS@UCLM.ES,,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=4
5,GRAMMATICA VARIA. ESTUDIOS SOBRE GRAMÁTICA Y VARIACIÓN,GRAVA,2001,AVDA. CAMILO JOSÉ CELA S/N. E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 300,(+34) 926 295 312,GRUPO.GRAVA@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=5
6,APOPTOSIS CELULAR,APOCELL,1996,AVDA. DE ESPAÑA S/N E02071 - ALBACETE (ESPAÑA),(+34) 967 599 320,(+34) 967 599 320,CARMEN.GONZALEZ@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=6
7,PROGRAMACION DECLARATIVA Y TRANSFORMACIÓN AUTOMÁTICA DE PROGRAMAS,DEC-TAU,2000,"PASEO DE LA UNIVERSIDAD, 4 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 300,(+34) 926 295 354,PASCUAL.JULIAN@UCLM.ES,http://dectau.uclm.es,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=7
8,"EMOTIONS ACROSS TIME, LANGUAGES AND CULTURES",EMOTLC,2001,"AVDA. DE CAMILO JOSÉ CELA, S/N E-13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 300,(+34) 926 295 312,JAVIERENRIQUE.DIAZ@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=8
9,"AUTOMATIZACION, ROBOTICA Y MECATRONICA",GARM,1994,"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES. EDIFICIO POLITECNICO. AVDA CAMILO JOSE CELA, S/N. CIUDAD REAL. 13071",(+34) 926 295 364,(+34) 926 295 361,VICENTE.FELIU@UCLM.ES,,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=9
10,MATERIALES MAGNÉTICOS,GMM,1991,AVDA. CAMILO JOSÉ CELA 10 E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 300 EXT. 3480,(+34) 926 295 318,JUANPEDRO.ANDRES@UCLM.ES,,CIUDAD REAL,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=10
12,ANÁLISIS POR ACOPLAMIENTO LC-GC,ALC-GC,1997,CAMPUS UNIVERSITARIO S/N E02071 - ALBACETE (ESPAÑA),(+34) 967 599 200. EXT. 2839,(+34) 967 599 238,JOSEMANUEL.CORTES@UCLM.ES,,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=12
13,MEDIO AMBIENTE Y RECURSOS FORESTALES,MARFO,1996,CAMPUS UNIVERSITARIO E02071 - ALBACETE (ESPAÑA),(+34) 926053108,MOVIL (+34) 649576785,FCO.LOPEZ@UCLM.ES,https://www.uclm.es/centros-investigacion/ier/medioam,ALBACETE,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=13
14,AREA DE DERECHO INTERNACIONAL PÚBLICO,ADIP,1998,"PLAZA DE LA UNIVERSIDAD,1 E02071 - ALBACETE (ESPAÑA)",(+34) 967 599 200 EXT. 2136,(+34) 967 599 216,ANGEL.SLEGIDO@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=14
15,INGENIERÍA HIDRÁULICA,INGHI,2000,CAMILO JOSÉ CELA S/N E13071 - CIUDAD REAL (ESPAÑA),(+34) 926 295 300,(+34) 926 295 391,JAVIER.GONZALEZ@UCLM.ES,,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=15
17,TECNOLOGÍA QUÍMICA Y MEDIOAMBIENTAL,TEQUIMA,1990,"AVDA. CAMILO JOSÉ CELA, 12. CP 13071 - CIUDAD REAL (ESPAÑA)",(+34) 902 204 100 ext. 3412,(+34) 902 204 130,PABLO.CANIZARES@UCLM.ES,http://diq.uclm.es/,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=17
18,QUÍMICA AGRÍCOLA,CQA,1985,CAMPUS UNIVERSITARIO S/N. E02071 - ALBACETE (ESPAÑA),(+34) 967 599 310,(+34) 967 599 238,ROSARIO.SALINAS@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=18
19,COMPUTER HUMAN INTERACTION AND COLLABORATION,CHICO,1998,PASEO UNIVERSIDAD 4 E13071 CIUDAD REAL (ESPAÑA),(+34) 926 295 481,(+34) 926 295 354,MIGUEL.REDONDO@UCLM.ES,https://blog.uclm.es/grupochico/,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=19
20,DERECHO DEL TRABAJO Y SEGURIDAD SOCIAL,IDTSS-UCLM,1991,"C/ CAMILO JOSÉ CELA, S/N E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 394,(+34) 902 240 130,MARIAJOSE.ROMERO@UCLM.ES,,ALBACETE,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=20
21,ESTRATEGIA DE CONSUMO SOSTENIBLE 2030,ECS,1989,"COBERTIZO DE SAN PEDRO MÁRTIR S/N, E45071 - TOLEDO (ESPAÑA)",(+34) 925 268 800 EXT. 5136,(+34) 925 268 801,ANGEL.CARRASCO@UCLM.ES,http://centrodeestudiosdeconsumo.com/,TOLEDO,,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=21
22,MODELIZACIÓN NUMÉRICA PARA EL MEDIO AMBIENTE Y EL CLIMA,MOMAC,2001,"AVDA. CARLOS III, S/N E45071 - TOLEDO (ESPAÑA)",(+34) 925 265738,(+34) 925 268 840,GRUPOMOMAC@GMAIL.COM,https://www.uclm.es/grupos/momac,TOLEDO,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=22
27,BIOGEOQUÍMICA AMBIENTAL,HG-MA,1998,"PL. MANUEL MECA, 1 E13400 - ALMADÉN (CIUDAD REAL - ESPAÑA)",(+34) 902 204 100 EXT. 6017,(+34) 926 264 401,PABLO.HIGUERAS@UCLM.ES,http://www.igea.uclm.es/seccion1/,ALMADÉN,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=27
28,ARQUITECTURA Y REDES DE COMPUTADORES,ARCO,1999,"PASEO DE LA UNIVERSIDAD, 4 E13071 - CIUDAD REAL (ESPAÑA)",(+34) 926 295 426,(+34) 926 295 354,JUANCARLOS.LOPEZ@UCLM.ES,http://arcoresearch.com,CIUDAD REAL,Pertenece a Cytema,0,0,9,1,1,https://www.uclm.es/Home/Misiones/Investigacion/OfertaCientificoTecnica/GruposInvestigacion/DetalleGrupo?idgrupo=28
